run id,generation,max.fitness,mean.fitness,min.fitness,std.fitness,set of enemies  
11:58,0,29.3324,-0.5218,-9.656,11.7169,2 5 7 8
11:58,1,54.1823,8.3304,-7.2736,15.9862,2 5 7 8
11:58,2,63.9397,18.3133,-9.995,15.7543,2 5 7 8
11:58,3,77.5527,27.5006,0.1466,15.1807,2 5 7 8
11:58,4,78.2635,28.3212,-6.8342,21.3891,2 5 7 8
11:58,5,78.2635,35.0524,-5.6911,21.611,2 5 7 8
11:58,6,78.2635,43.1747,-6.3162,21.3512,2 5 7 8
11:58,7,85.1983,41.447,-3.9092,22.4493,2 5 7 8
11:58,8,85.1983,42.9174,-6.6613,25.9144,2 5 7 8
11:58,9,85.1983,53.9068,0.5753,22.5453,2 5 7 8
11:58,10,87.988,55.5126,-3.4848,26.1773,2 5 7 8
11:58,11,87.988,59.3838,-10.325,26.2132,2 5 7 8
11:58,12,87.988,72.2465,17.3432,17.7979,2 5 7 8
11:58,13,87.988,71.8449,13.377,20.9607,2 5 7 8
11:58,14,87.988,73.4012,19.2835,19.9876,2 5 7 8
11:58,15,87.988,73.2292,3.5583,22.0487,2 5 7 8
11:58,16,87.988,73.8728,24.8832,22.0288,2 5 7 8
11:58,17,87.988,71.8523,11.8808,24.7022,2 5 7 8
11:58,18,87.988,75.0363,11.8808,21.7145,2 5 7 8
11:58,19,87.988,82.5568,30.5532,10.7143,2 5 7 8
11:58,20,87.988,83.2366,48.7875,8.7108,2 5 7 8
11:58,21,87.988,83.5166,35.6308,10.78,2 5 7 8
11:58,22,87.988,83.4307,0.9505,15.2983,2 5 7 8
11:58,23,87.988,79.6668,24.9156,18.6429,2 5 7 8
11:58,24,87.988,79.6798,17.6744,18.2591,2 5 7 8
11:58,25,87.988,80.8156,29.279,14.6308,2 5 7 8
11:58,26,87.988,78.5138,24.7873,18.2252,2 5 7 8
11:58,27,87.988,82.8595,29.279,14.0488,2 5 7 8
11:58,28,87.988,74.7767,-7.4773,28.5869,2 5 7 8
11:58,29,87.988,79.9135,29.283,19.5852,2 5 7 8
11:58,30,87.988,79.1221,29.283,19.5521,2 5 7 8
