run id,generation,max.fitness,mean.fitness,min.fitness,std.fitness,set of enemies  
0_09:13,0,90.869,5.6148,-6.9078,27.1618,2 5
0_09:13,1,90.929,45.1993,-6.6267,41.4104,2 5
0_09:13,2,90.929,74.7673,3.2317,27.3881,2 5
0_09:13,3,90.929,87.1857,30.2009,12.075,2 5
0_09:13,4,91.289,89.3432,57.3232,6.4105,2 5
0_09:13,5,91.289,86.1338,10.9522,15.9858,2 5
0_09:13,6,91.289,85.4247,10.9522,18.1435,2 5
0_09:13,7,91.289,88.3534,39.2317,9.4981,2 5
0_09:13,8,91.289,84.7475,11.6756,18.6405,2 5
0_09:13,9,91.289,85.8143,10.8922,18.038,2 5
0_09:13,10,91.4906,87.3481,10.9522,15.5043,2 5
0_09:13,11,91.4906,85.1078,2.3733,20.2463,2 5
0_09:13,12,91.4906,84.638,19.9522,18.1443,2 5
0_09:13,13,91.4906,83.0415,10.9522,19.9507,2 5
0_09:13,14,91.649,88.9355,27.8122,10.093,2 5
0_09:13,15,91.649,84.4516,12.2193,18.2874,2 5
0_09:13,16,91.649,81.3333,12.2193,21.4452,2 5
0_09:13,17,91.649,85.6075,20.3893,14.1273,2 5
0_09:13,18,91.709,83.2374,21.1652,18.6809,2 5
0_09:13,19,91.709,88.109,48.2223,8.6537,2 5
0_09:13,20,91.709,85.8148,21.1652,17.6724,2 5
0_09:13,21,91.709,81.1486,12.1652,24.3325,2 5
0_09:13,22,91.709,83.8128,-5.8348,20.9899,2 5
0_09:13,23,91.709,87.7145,21.1652,12.4589,2 5
0_09:13,24,91.709,85.0237,30.1652,16.0063,2 5
0_09:13,25,91.709,82.3905,8.1322,20.2812,2 5
0_09:13,26,91.709,85.5949,20.1627,15.8077,2 5
0_09:13,27,91.709,79.2224,20.1627,23.3295,2 5
0_09:13,28,91.709,79.4969,21.1652,22.3154,2 5
0_09:13,29,92.0511,82.5228,21.1652,20.3013,2 5
0_09:13,30,92.0511,88.2097,21.1652,12.6625,2 5
